no,name,code,continent,country,city,district,교회수,address,lat,lng,dedication_date,link,status
1,서울강남 하나님의교회,562001,Asia,South Korea,서울,강남구,,서울특별시 강남구 선릉로72길 9,37.50435,127.05198,,https://churchofgod.wiki/%EC%84%9C%EC%9A%B8%EA%B0%95%EB%82%A8_%ED%95%98%EB%82%98%EB%8B%98%EC%9D%98_%EA%B5%90%ED%9A%8C,교회
2,서울강동 하나님의교회,562002,Asia,South Korea,서울,강동구,,서울특별시 강동구 명일로 207,37.5354,127.1375,,https://churchofgod.wiki/%EC%84%9C%EC%9A%B8%EA%B0%95%EB%8F%99_%ED%95%98%EB%82%98%EB%8B%98%EC%9D%98_%EA%B5%90%ED%9A%8C,교회
6,서울광진 하나님의교회,562006,Asia,South Korea,서울,광진구,,서울특별시 광진구,37.5392956,127.0669524,,,교회
7,서울구로 하나님의교회,562007,Asia,South Korea,서울,구로구,,서울특별시 구로구,37.4965405,126.8857391,,,교회
8,서울금천 하나님의교회,562008,Asia,South Korea,서울,금천구,,서울특별시 금천구,37.4385754,126.9043847,,,교회
11,서울동대문 하나님의교회,562011,Asia,South Korea,서울,동대문구,,서울특별시 동대문구,37.5798378,127.0563736,,,교회
15,서울서초 하나님의교회,562015,Asia,South Korea,서울,서초구,,서울특별시 서초구,37.4558022,127.0687838,,,교회
16,서울성동 하나님의교회,562016,Asia,South Korea,서울,성동구,,서울특별시 성동구,37.5358612,127.0117095,,,교회
18,서울송파 하나님의교회,562018,Asia,South Korea,서울,송파구,,서울특별시 송파구 새말로 170,37.5037,127.1121,,https://churchofgod.wiki/%EC%84%9C%EC%9A%B8%EC%86%A1%ED%8C%8C_%ED%95%98%EB%82%98%EB%8B%98%EC%9D%98_%EA%B5%90%ED%9A%8C,교회
19,서울양천 하나님의교회,562019,Asia,South Korea,서울,양천구,,서울특별시 양천구,37.5276611,126.871092,,,교회
20,서울영등포 하나님의교회,562020,Asia,South Korea,서울,영등포구,,서울특별시 영등포구,37.5194081,126.8955788,,,교회
21,서울용산 하나님의교회,562021,Asia,South Korea,서울,용산구,,서울특별시 용산구,37.5358612,127.0117095,,,교회
25,서울중랑 하나님의교회,562025,Asia,South Korea,서울,중랑구,,서울특별시 중랑구,37.6133422,127.0976149,,,교회
26,서울강북 하나님의교회,562026,Asia,South Korea,서울,강북구,,서울특별시 강북구 삼양로19길 47,37.615372,127.0198599,,,교회
29,서울은광 하나님의교회,562029,Asia,South Korea,서울,은평구,,서울특별시 은평구,37.5939767,126.9236807,,,헌당
31,New York Church Test,US0001,North America,United States,New York,Manhattan,,Times Square Manhattan NY 10036 USA,40.758,-73.9855,,https://www.google.com/maps?q=40.7580%2C-73.9855,교회
