no,name,code,country,city,district,교회수,address,lat,lng,dedication_date,link,status
1,서울강남 하나님의교회,562001,South Korea,Seoul,강남구,,서울특별시 강남구 선릉로72길 9,37.50435,127.05198,,https://churchofgod.wiki/%EC%84%9C%EC%9A%B8%EA%B0%95%EB%82%A8_%ED%95%98%EB%82%98%EB%8B%98%EC%9D%98_%EA%B5%90%ED%9A%8C,
2,서울강동 하나님의교회,562002,South Korea,Seoul,강동구,,서울특별시 강동구 명일로 207,37.5354,127.1375,,https://churchofgod.wiki/%EC%84%9C%EC%9A%B8%EA%B0%95%EB%8F%99_%ED%95%98%EB%82%98%EB%8B%98%EC%9D%98_%EA%B5%90%ED%9A%8C,
3,서울강일 하나님의교회,562003,South Korea,Seoul,강동구,,서울특별시 강동구 명일로 207,37.5328134,127.1451809,,,
4,서울공덕 하나님의교회,562004,South Korea,Seoul,마포구,,서울특별시 마포구 임정로 83,37.5442703,126.957485,,,
5,서울관악 하나님의교회,562005,South Korea,Seoul,관악구,,서울특별시 관악구,37.4782,126.9518,,,
6,서울광진 하나님의교회,562006,South Korea,Seoul,광진구,,서울특별시 광진구,37.5362696,127.0879515,,,
7,서울구로 하나님의교회,562007,South Korea,Seoul,구로구,,서울특별시 구로구,37.4951999,126.8877,,,
8,서울금천 하나님의교회,562008,South Korea,Seoul,금천구,,서울특별시 금천구,37.4565,126.8954,,,
9,서울노원 하나님의교회,562009,South Korea,Seoul,노원구,,서울특별시 노원구,37.654,127.0567,,,
10,서울도봉 하나님의교회,562010,South Korea,Seoul,도봉구,,서울특별시 도봉구,37.6686,127.0466,,,
11,서울동대문 하나님의교회,562011,South Korea,Seoul,동대문구,,서울특별시 동대문구,37.5741982,127.0395092,,,
12,서울동작 하나님의교회,562012,South Korea,Seoul,동작구,,서울특별시 동작구 여의대방로24가길 28,37.4990633,126.920908,,,
13,서울마포 하나님의교회,562013,South Korea,Seoul,마포구,,서울특별시 마포구 창전로 88,37.5488546,126.9330075,,,
14,서울서대문 하나님의교회,562014,South Korea,Seoul,서대문구,,서울특별시 서대문구,37.5790747,126.9367861,,,
15,서울서초 하나님의교회,562015,South Korea,Seoul,서초구,,서울특별시 서초구,37.4835,127.0322,,,
16,서울성동 하나님의교회,562016,South Korea,Seoul,성동구,,서울특별시 성동구,37.5635,127.0365,,,
17,서울성북 하나님의교회,562017,South Korea,Seoul,성북구,,서울특별시 성북구,37.59,127.0165,,,
18,서울송파 하나님의교회,562018,South Korea,Seoul,송파구,,서울특별시 송파구 새말로 170,37.5037,127.1121,,https://churchofgod.wiki/%EC%84%9C%EC%9A%B8%EC%86%A1%ED%8C%8C_%ED%95%98%EB%82%98%EB%8B%98%EC%9D%98_%EA%B5%90%ED%9A%8C,
19,서울양천 하나님의교회,562019,South Korea,Seoul,양천구,,서울특별시 양천구,37.5171,126.8663,,,
20,서울영등포 하나님의교회,562020,South Korea,Seoul,영등포구,,서울특별시 영등포구,37.5262,126.8959,,,
21,서울용산 하나님의교회,562021,South Korea,Seoul,용산구,,서울특별시 용산구,37.5323,126.99,,,
22,서울은평 하나님의교회,562022,South Korea,Seoul,은평구,,서울특별시 은평구 진관1로 77-11,37.6319582,126.9286415,,,
23,서울독립문 하나님의교회,562023,South Korea,Seoul,종로구,,서울특별시 종로구 통일로16길 13,37.5763734,126.9567227,,,
24,서울중구 하나님의교회,562024,South Korea,Seoul,중구,,서울특별시 중구,37.5636559,126.9975097,,,
25,서울중랑 하나님의교회,562025,South Korea,Seoul,중랑구,,서울특별시 중랑구,37.6063,127.093,,,
26,서울강북 하나님의교회,562026,South Korea,Seoul,강북구,,서울특별시 강북구 삼양로19길 47,37.615372,127.0198599,,,
27,서울공항 하나님의교회,562027,South Korea,Seoul,강서구,,서울특별시 강서구 송정로 4,37.5581086,126.811091,,,
28,서울종로 하나님의교회,562028,South Korea,Seoul,종로구,,서울특별시 종로구 비봉5길 20,37.6133058,126.9539326,2023-05-01,,
29,서울은광 하나님의교회,562029,South Korea,Seoul,은평구,,서울특별시 은평구,37.6024,126.9293,,,헌당
30,서울방화 하나님의교회,562030,South Korea,Seoul,강서구,,서울특별시 강서구 방화동,37.57682,126.81422,,,
31,New York Church Test,US0001,United States,New York,Manhattan,,Times Square Manhattan NY 10036 USA,40.7580,-73.9855,,https://www.google.com/maps?q=40.7580%2C-73.9855,
